query,query_type,complexity,method,search_time,num_results,relevance_score,topic_coverage,precision_at_1,precision_at_3,precision_at_5,num_relevant,topics_found,avg_similarity_score
What is the role of TRIM23 in HSV-1 infection?,simple_factual,low,without_rerank,0.034559011459350586,10,0.175,0.75,1.0,1.0,0.6,3,"['trim23', 'hsv-1', 'autophagy']",0.8616026370000001
What is the role of TRIM23 in HSV-1 infection?,simple_factual,low,with_rerank,0.40109705924987793,10,0.275,0.75,1.0,1.0,0.6,5,"['trim23', 'hsv-1', 'autophagy']",0.8552396339999999
Which proteins activate NF-κB pathway during HSV infection?,simple_factual,low,without_rerank,0.0602259635925293,10,0.0,0.0,0.0,0.0,0.0,0,[],0.8411192120000001
Which proteins activate NF-κB pathway during HSV infection?,simple_factual,low,with_rerank,0.22480177879333496,10,0.0,0.0,0.0,0.0,0.0,0,[],0.8341148589999999
How does TBK1 phosphorylation of TRIM23 lead to autophagy activation in HSV-1 infected cells?,mechanistic,medium,without_rerank,0.04600811004638672,10,0.21666666666666667,0.8333333333333334,0.0,0.6666666666666666,0.8,5,"['trim23', 'tbk1', 'phosphorylation', 's39', 'autophagy']",0.8493962939999999
How does TBK1 phosphorylation of TRIM23 lead to autophagy activation in HSV-1 infected cells?,mechanistic,medium,with_rerank,0.24120187759399414,10,0.26666666666666666,0.8333333333333334,1.0,1.0,1.0,6,"['trim23', 'tbk1', 'phosphorylation', 's39', 'autophagy']",0.844868067
What is the mechanism by which HSV-ΔICP34.5 promotes HIV latency reactivation through HSF1?,mechanistic,medium,without_rerank,0.04590010643005371,10,0.0,0.0,0.0,0.0,0.0,0,[],0.8562167580000001
What is the mechanism by which HSV-ΔICP34.5 promotes HIV latency reactivation through HSF1?,mechanistic,medium,with_rerank,0.19403314590454102,10,0.0,0.0,0.0,0.0,0.0,0,[],0.847661549
How do HSV-1 infected cells compensate for FASN inhibition and what alternative lipid pathways are activated?,complex_mechanistic,high,without_rerank,0.042822837829589844,10,0.0,0.0,0.0,0.0,0.0,0,[],0.853150201
How do HSV-1 infected cells compensate for FASN inhibition and what alternative lipid pathways are activated?,complex_mechanistic,high,with_rerank,0.21053791046142578,10,0.0,0.0,0.0,0.0,0.0,0,[],0.847765514
"What is the relationship between ADAR1 p150, PKR hyperactivation, and innate immune evasion in HSV-1 infection?",complex_mechanistic,high,without_rerank,0.0531771183013916,10,0.0,0.0,0.0,0.0,0.0,0,[],0.8563556689999998
"What is the relationship between ADAR1 p150, PKR hyperactivation, and innate immune evasion in HSV-1 infection?",complex_mechanistic,high,with_rerank,0.19866418838500977,10,0.0,0.0,0.0,0.0,0.0,0,[],0.8504977930000001
How does stress-induced glucocorticoid receptor activation affect HSV reactivation from latency?,clinical_mechanistic,medium,without_rerank,0.04201698303222656,10,0.02,0.2,0.0,0.3333333333333333,0.2,1,['reactivation'],0.8565192899999999
How does stress-induced glucocorticoid receptor activation affect HSV reactivation from latency?,clinical_mechanistic,medium,with_rerank,0.18265891075134277,10,0.04,0.2,1.0,0.6666666666666666,0.4,2,['reactivation'],0.8511213919999999
How do hexameric interfaces in the nuclear egress complex facilitate HSV membrane budding?,structural,high,without_rerank,0.04102492332458496,10,0.35,1.0,1.0,0.6666666666666666,0.4,5,"['nuclear egress', 'nec', 'hexagonal lattice', 'membrane budding']",0.8378967600000001
How do hexameric interfaces in the nuclear egress complex facilitate HSV membrane budding?,structural,high,with_rerank,0.20438718795776367,10,0.225,1.0,1.0,0.6666666666666666,0.4,3,"['nuclear egress', 'nec', 'hexagonal lattice', 'membrane budding']",0.8308915880000001
What T-cell receptor repertoire changes occur in HSV lesion sites compared to unaffected skin?,immunological,medium,without_rerank,0.041828155517578125,10,0.025,0.25,0.0,0.3333333333333333,0.2,1,['trb repertoire'],0.8686129250000001
What T-cell receptor repertoire changes occur in HSV lesion sites compared to unaffected skin?,immunological,medium,with_rerank,0.16366910934448242,10,0.125,0.25,1.0,0.3333333333333333,0.6,5,['trb repertoire'],0.8620395160000001
viral protein interactions autophagy,ambiguous,low,without_rerank,0.037390947341918945,10,0.16666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.6,5,['autophagy'],0.8296642330000001
viral protein interactions autophagy,ambiguous,low,with_rerank,0.19452786445617676,10,0.26666666666666666,0.6666666666666666,1.0,1.0,1.0,8,"['interactions', 'autophagy']",0.821330255
