query,query_type,collection,search_time,avg_similarity_score,relevance_score,topic_coverage,topics_found,num_results
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,pubmedbert-500tokens,0.02001500129699707,-0.0005960161219999999,0.25,0.5,"['tbk1', 'trim23']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,pubmedbert-300tokens,0.01376199722290039,0.006345122737999999,0.25,0.75,"['tbk1', 'trim23', 's39']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,biobert-500tokens,0.012759923934936523,0.9159666200000001,0.3,1.0,"['phosphorylation', 'tbk1', 'trim23', 's39']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,biobert-300tokens,0.014230966567993164,0.9223745259999999,0.2,0.5,"['tbk1', 'trim23']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,openai-large-1000tokens,0.03980898857116699,0.5784435479999999,0.55,1.0,"['phosphorylation', 'tbk1', 'trim23', 's39']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,openai-large-500tokens,0.03779315948486328,0.6243736200000001,0.95,1.0,"['phosphorylation', 'tbk1', 'trim23', 's39']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,openai-large-300tokens,0.04760098457336426,0.6819593800000001,0.8,1.0,"['phosphorylation', 'tbk1', 'trim23', 's39']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,pubmedbert-500tokens,0.00995182991027832,0.004165228679999999,0.28,0.6,"['autophagy', 'tbk1', 'trim23']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,pubmedbert-300tokens,0.013297080993652344,0.0104726097,0.16,0.4,"['autophagy', 'trim23']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,biobert-500tokens,0.009653091430664062,0.894375026,0.32,0.8,"['gtpase activity', 'autophagy', 'tbk1', 'trim23']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,biobert-300tokens,0.010830163955688477,0.9030234500000001,0.36,0.8,"['gtpase activity', 'autophagy', 'tbk1', 'trim23']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,openai-large-1000tokens,0.04134416580200195,0.5274662579999999,0.56,0.8,"['gtpase activity', 'autophagy', 'tbk1', 'trim23']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,openai-large-500tokens,0.0313878059387207,0.689563128,0.6,0.6,"['autophagy', 'tbk1', 'trim23']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,openai-large-300tokens,0.028679847717285156,0.743564478,0.6,0.6,"['autophagy', 'tbk1', 'trim23']",5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,pubmedbert-500tokens,0.011317968368530273,0.014310751100000001,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,pubmedbert-300tokens,0.010526180267333984,0.024009474600000004,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,biobert-500tokens,0.010806083679199219,0.912671402,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,biobert-300tokens,0.013889074325561523,0.9218632980000001,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,openai-large-1000tokens,0.03719925880432129,0.531665574,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,openai-large-500tokens,0.015559911727905273,0.5351719300000001,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,openai-large-300tokens,0.027091026306152344,0.545562258,0.1,0.5,"['p65', 'nf-κb']",5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,pubmedbert-500tokens,0.011310100555419922,-0.00458423244,0.0,0.0,[],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,pubmedbert-300tokens,0.011595010757446289,-0.00063260774,0.0,0.0,[],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,biobert-500tokens,0.012556076049804688,0.90454758,0.04,0.2,['phosphorylation'],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,biobert-300tokens,0.010720014572143555,0.9137685720000001,0.0,0.0,[],5
