query,query_type,complexity,method,search_time,num_results,relevance_score,topic_coverage,precision_at_1,precision_at_3,precision_at_5,num_relevant,topics_found,avg_similarity_score
What is the role of TRIM23 in HSV-1 infection?,simple_factual,low,without_rerank,0.4651529788970947,10,0.5,0.75,1.0,1.0,0.8,8,"['hsv-1', 'autophagy', 'trim23']",0.5054834539999999
What is the role of TRIM23 in HSV-1 infection?,simple_factual,low,with_rerank,1.086165189743042,10,0.575,0.75,1.0,1.0,1.0,10,"['hsv-1', 'autophagy', 'trim23']",0.492408919
Which proteins activate NF-κB pathway during HSV infection?,simple_factual,low,without_rerank,0.24870896339416504,10,0.025,0.25,1.0,0.3333333333333333,0.2,1,['ikk'],0.48207283999999995
Which proteins activate NF-κB pathway during HSV infection?,simple_factual,low,with_rerank,0.6827893257141113,10,0.0,0.0,0.0,0.0,0.0,0,[],0.454260746
How does TBK1 phosphorylation of TRIM23 lead to autophagy activation in HSV-1 infected cells?,mechanistic,medium,without_rerank,0.33907413482666016,10,0.4166666666666667,0.8333333333333334,1.0,1.0,1.0,8,"['trim23', 'phosphorylation', 'tbk1', 's39', 'autophagy']",0.49587247600000006
How does TBK1 phosphorylation of TRIM23 lead to autophagy activation in HSV-1 infected cells?,mechanistic,medium,with_rerank,0.814234733581543,10,0.5166666666666667,0.8333333333333334,1.0,1.0,1.0,10,"['trim23', 'phosphorylation', 'tbk1', 's39', 'autophagy']",0.48730786000000004
What is the mechanism by which HSV-ΔICP34.5 promotes HIV latency reactivation through HSF1?,mechanistic,medium,without_rerank,0.27378201484680176,10,0.0,0.0,0.0,0.0,0.0,0,[],0.460212386
What is the mechanism by which HSV-ΔICP34.5 promotes HIV latency reactivation through HSF1?,mechanistic,medium,with_rerank,0.598933219909668,10,0.0,0.0,0.0,0.0,0.0,0,[],0.449153062
How do HSV-1 infected cells compensate for FASN inhibition and what alternative lipid pathways are activated?,complex_mechanistic,high,without_rerank,0.34157800674438477,10,0.0,0.0,0.0,0.0,0.0,0,[],0.454417529
How do HSV-1 infected cells compensate for FASN inhibition and what alternative lipid pathways are activated?,complex_mechanistic,high,with_rerank,0.6758489608764648,10,0.0,0.0,0.0,0.0,0.0,0,[],0.44225598600000005
"What is the relationship between ADAR1 p150, PKR hyperactivation, and innate immune evasion in HSV-1 infection?",complex_mechanistic,high,without_rerank,0.2064361572265625,10,0.0,0.0,0.0,0.0,0.0,0,[],0.41237445800000005
"What is the relationship between ADAR1 p150, PKR hyperactivation, and innate immune evasion in HSV-1 infection?",complex_mechanistic,high,with_rerank,0.931419849395752,10,0.0,0.0,0.0,0.0,0.0,0,[],0.3939381679999999
How does stress-induced glucocorticoid receptor activation affect HSV reactivation from latency?,clinical_mechanistic,medium,without_rerank,0.266571044921875,10,0.14,0.2,1.0,1.0,0.6,7,['reactivation'],0.46559598399999996
How does stress-induced glucocorticoid receptor activation affect HSV reactivation from latency?,clinical_mechanistic,medium,with_rerank,0.6272890567779541,10,0.12,0.2,1.0,1.0,0.8,6,['reactivation'],0.45108812500000006
How do hexameric interfaces in the nuclear egress complex facilitate HSV membrane budding?,structural,high,without_rerank,0.24757790565490723,10,0.825,1.0,1.0,1.0,1.0,10,"['membrane budding', 'hexagonal lattice', 'nuclear egress', 'nec']",0.5144075699999999
How do hexameric interfaces in the nuclear egress complex facilitate HSV membrane budding?,structural,high,with_rerank,0.44609594345092773,10,0.725,1.0,1.0,1.0,1.0,9,"['membrane budding', 'hexagonal lattice', 'nuclear egress', 'nec']",0.493763407
What T-cell receptor repertoire changes occur in HSV lesion sites compared to unaffected skin?,immunological,medium,without_rerank,0.38435816764831543,10,0.15,0.75,1.0,0.6666666666666666,0.4,4,"['trb repertoire', 'clonality', 'lesion sites']",0.663562357
What T-cell receptor repertoire changes occur in HSV lesion sites compared to unaffected skin?,immunological,medium,with_rerank,0.6544971466064453,10,0.225,0.75,1.0,0.6666666666666666,0.6,7,"['trb repertoire', 'clonality', 'lesion sites']",0.6524517870000001
viral protein interactions autophagy,ambiguous,low,without_rerank,0.25212979316711426,10,0.26666666666666666,0.3333333333333333,1.0,1.0,1.0,8,['autophagy'],0.41650171
viral protein interactions autophagy,ambiguous,low,with_rerank,0.5562300682067871,10,0.23333333333333334,0.3333333333333333,1.0,1.0,0.6,7,['autophagy'],0.390167268
