query,query_type,complexity,method,search_time,num_results,relevance_score,topic_coverage,precision_at_1,precision_at_3,precision_at_5,num_relevant,topics_found,avg_similarity_score
What is the role of TRIM23 in HSV-1 infection?,simple_factual,low,without_rerank,0.030298948287963867,10,0.175,0.75,1.0,0.3333333333333333,0.6,5,"['hsv-1', 'autophagy', 'trim23']",0.8782409689999999
What is the role of TRIM23 in HSV-1 infection?,simple_factual,low,with_rerank,0.42662620544433594,10,0.25,0.75,1.0,1.0,0.6,5,"['hsv-1', 'autophagy', 'trim23']",0.8744105339999999
Which proteins activate NF-κB pathway during HSV infection?,simple_factual,low,without_rerank,0.04593014717102051,10,0.025,0.25,0.0,0.3333333333333333,0.2,1,['ikk'],0.862834057
Which proteins activate NF-κB pathway during HSV infection?,simple_factual,low,with_rerank,0.2275240421295166,10,0.0,0.0,0.0,0.0,0.0,0,[],0.8580691039999999
How does TBK1 phosphorylation of TRIM23 lead to autophagy activation in HSV-1 infected cells?,mechanistic,medium,without_rerank,0.043901920318603516,10,0.08333333333333333,0.8333333333333334,0.0,0.0,0.0,1,"['tbk1', 'autophagy', 'trim23', 'phosphorylation', 's39']",0.8829268539999999
How does TBK1 phosphorylation of TRIM23 lead to autophagy activation in HSV-1 infected cells?,mechanistic,medium,with_rerank,0.259077787399292,10,0.13333333333333333,0.8333333333333334,1.0,0.3333333333333333,0.2,2,"['tbk1', 'autophagy', 'trim23', 'phosphorylation', 's39']",0.8764993579999999
What is the mechanism by which HSV-ΔICP34.5 promotes HIV latency reactivation through HSF1?,mechanistic,medium,without_rerank,0.043192148208618164,10,0.0,0.0,0.0,0.0,0.0,0,[],0.895869115
What is the mechanism by which HSV-ΔICP34.5 promotes HIV latency reactivation through HSF1?,mechanistic,medium,with_rerank,0.245621919631958,10,0.0,0.0,0.0,0.0,0.0,0,[],0.891211048
How do HSV-1 infected cells compensate for FASN inhibition and what alternative lipid pathways are activated?,complex_mechanistic,high,without_rerank,0.04282093048095703,10,0.0,0.0,0.0,0.0,0.0,0,[],0.8841650849999999
How do HSV-1 infected cells compensate for FASN inhibition and what alternative lipid pathways are activated?,complex_mechanistic,high,with_rerank,0.2407243251800537,10,0.0,0.0,0.0,0.0,0.0,0,[],0.877693013
"What is the relationship between ADAR1 p150, PKR hyperactivation, and innate immune evasion in HSV-1 infection?",complex_mechanistic,high,without_rerank,0.04556918144226074,10,0.0,0.0,0.0,0.0,0.0,0,[],0.8866253820000001
"What is the relationship between ADAR1 p150, PKR hyperactivation, and innate immune evasion in HSV-1 infection?",complex_mechanistic,high,with_rerank,0.2621750831604004,10,0.0,0.0,0.0,0.0,0.0,0,[],0.881324595
How does stress-induced glucocorticoid receptor activation affect HSV reactivation from latency?,clinical_mechanistic,medium,without_rerank,0.046182870864868164,10,0.08,0.4,1.0,0.3333333333333333,0.2,4,"['stress', 'reactivation']",0.885692779
How does stress-induced glucocorticoid receptor activation affect HSV reactivation from latency?,clinical_mechanistic,medium,with_rerank,0.24202179908752441,10,0.08,0.2,1.0,1.0,0.8,4,['reactivation'],0.88107764
How do hexameric interfaces in the nuclear egress complex facilitate HSV membrane budding?,structural,high,without_rerank,0.04053473472595215,10,0.525,1.0,1.0,1.0,0.8,7,"['nuclear egress', 'nec', 'hexagonal lattice', 'membrane budding']",0.8751910550000002
How do hexameric interfaces in the nuclear egress complex facilitate HSV membrane budding?,structural,high,with_rerank,0.2421400547027588,10,0.45,1.0,1.0,1.0,0.6,5,"['nuclear egress', 'nec', 'hexagonal lattice', 'membrane budding']",0.8696505
What T-cell receptor repertoire changes occur in HSV lesion sites compared to unaffected skin?,immunological,medium,without_rerank,0.04409193992614746,10,0.075,0.25,0.0,0.6666666666666666,0.4,3,['trb repertoire'],0.8810492590000001
What T-cell receptor repertoire changes occur in HSV lesion sites compared to unaffected skin?,immunological,medium,with_rerank,0.24785900115966797,10,0.1,0.25,1.0,0.6666666666666666,0.6,4,['trb repertoire'],0.8803304479999999
viral protein interactions autophagy,ambiguous,low,without_rerank,0.037153005599975586,10,0.1,0.6666666666666666,1.0,0.6666666666666666,0.4,3,"['autophagy', 'interactions']",0.8455400580000001
viral protein interactions autophagy,ambiguous,low,with_rerank,0.2149200439453125,10,0.1,0.6666666666666666,1.0,0.3333333333333333,0.2,3,"['autophagy', 'interactions']",0.8412089760000001
